func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
cg_w05_c000,mssp4-n180-d20-01,3146.9140847563267,1202.2001000000014,1202.2001000000014,0.0,0.06470474,3146.849380016327,3115.6598192199976,3115.570641589001,227,217,5139,420,3479,94,314,222.0,314,222
cg_w05_c000,mssp4-n180-d20-02,2192.5916275165787,1531.4001000000003,1531.4001000000003,0.0,0.028234639,2192.5633928775787,2176.359034272,2176.2927003610002,213,202,1691,417,3613,91,296,207.0,296,207
cg_w05_c000,mssp4-n180-d20-03,3977.4740107839143,851.5001,1472.5434850516858,0.7293520987862313,0.062836725,3977.411174058914,3946.562505735003,3946.470374007002,269,258,4452,417,3594,91,354,291.0,354,291
cg_w05_c000,mssp4-n180-d20-04,3359.717019108152,1248.1002000000015,1248.1833471759521,6.661899096776936e-5,0.029417065,3359.687602043152,3316.3857545780015,3316.3241499300016,186,179,7874,419,3576,93,275,184.0,275,184
cg_w05_c000,mssp4-n180-d20-05,3767.3425801215767,1062.2002000000007,1707.6112347934738,0.6076171279138083,0.017666143,3767.3249139785767,3739.736369400999,3739.656539015,238,230,3615,416,3394,90,323,235.0,323,235
cg_w05_c000,mssp4-n180-d30-01,2235.11746844546,1101.5168083333338,1101.5702720841311,4.85364820517676e-5,0.075969546,2235.04149889946,2203.39394016,2203.287366315,290,277,4856,415,5214,89,370,289.0,370,289
cg_w05_c000,mssp4-n180-d30-02,1857.5233293042807,1052.3001000000013,1052.3001000000013,0.0,0.027034329,1857.4962949752808,1832.912900403,1832.8315685849989,228,221,2753,416,5202,90,316,243.0,316,243
cg_w05_c000,mssp4-n180-d30-03,3925.8388065825634,700.5001,1156.8491164093937,0.6514617434164445,0.027441455,3925.8113651275635,3893.964567663997,3893.8542610710015,304,288,4731,416,5158,90,382,300.0,382,300
cg_w05_c000,mssp4-n180-d30-04,2605.642887431175,934.0000999999994,934.0858740585772,9.183517065773355e-5,0.026031333,2605.616856098175,2570.9518867640004,2570.866686121002,253,244,5662,417,5128,91,339,293.0,339,291
cg_w05_c000,mssp4-n180-d30-05,3779.1239898689178,1021.9002000000003,1185.0723727890324,0.15967525281728306,0.025564719,3779.0984251499176,3749.7466477990024,3749.6051673689994,372,361,4031,423,5061,97,466,397.0,466,397
cg_w10_c000,mssp4-n180-d10-01,4634.555467103142,1960.4305126470567,3380.70816451613,0.7244723251891004,0.059179042,4634.496288061142,4632.742312233001,4632.416684357998,412,403,244,515,1960,189,604,472.0,604,472
cg_w10_c000,mssp4-n180-d10-02,3697.003664257333,2214.701746825399,3921.389254126736,0.7706173121268991,0.05647135,3696.9471929073334,3695.065467636,3694.802351782002,401,391,148,515,2049,189,590,436.0,590,436
cg_w10_c000,mssp4-n180-d10-03,3959.0373914408883,2169.4545779411746,2386.089826636746,0.09985701055845994,0.023546474,3959.0138449668884,3947.851856165001,3947.742159304999,170,165,2268,514,2058,188,362,179.0,362,179
cg_w10_c000,mssp4-n180-d10-04,5122.621569050297,1905.4681445330282,3457.581537582234,0.8145575130722436,0.011492146,5122.610076904297,5121.058593016004,5120.842654996,283,277,133,515,1992,189,474,287.0,474,287
cg_w10_c000,mssp4-n180-d10-05,3798.6667130943943,2399.371001190473,2847.7760798358195,0.18688442863686583,0.011535978,3798.655177116394,3794.847333492002,3794.680045980998,263,252,650,515,1987,189,452,327.0,452,327
cg_w10_c000,mssp4-n180-d15-01,2228.333424507362,1678.5912466666678,1678.5912466666678,0.0,0.062279402,2228.271145105362,2218.1382812800002,2217.8713364520004,157,151,1648,514,2730,188,347,161.0,347,161
cg_w10_c000,mssp4-n180-d15-02,1741.3505422499877,1587.7001000000002,1587.7001000000002,0.0,0.0357582,1741.3147840499878,1725.8477567629998,1725.7203388860016,174,171,2616,513,2854,187,370,203.0,370,203
cg_w10_c000,mssp4-n180-d15-03,2124.6015847869157,1597.4001000000007,1597.4001000000007,0.0,0.134434814,2124.4671499729156,2100.358099043999,2100.199478676999,234,226,3267,511,2836,185,420,251.0,420,251
cg_w10_c000,mssp4-n180-d15-04,836.4506725495435,1489.0001000000022,1489.0001000000022,0.0,0.015639705,836.4350328445435,826.3337998969998,826.2906091510002,73,70,1673,513,2850,187,265,80.0,265,80
cg_w10_c000,mssp4-n180-d15-05,3655.8591112069776,975.8752499999998,2968.658688502221,2.042047319575142,0.035986083,3655.8231251239777,3653.521430334,3653.3443422030005,276,266,270,515,2830,189,465,290.0,465,290
cg_w10_c000,mssp4-n180-d20-01,3611.6730335301677,1072.2000999999964,1400.2201000000005,0.30593170062193165,0.066307599,3611.6067259311676,3580.164979558001,3579.9399312640026,249,238,4892,505,3569,179,428,328.0,428,328
