func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
cg2_l20_w00_c200,mssp3-n100-d30-02,23.241465008453858,949.4000999999998,949.4000999999998,0.0,0.009589112,23.231875896453857,22.839612228999997,22.788330272999996,83,73,27,384,1603,202,278,118.0,278,117
cg2_l20_w00_c200,mssp3-n100-d30-03,36.5846514523313,751.8001999999991,751.8001999999991,0.0,0.016562444,36.5680890083313,35.61392959999999,35.53609236899999,125,116,429,384,1631,202,319,149.0,319,149
cg2_l20_w00_c200,mssp3-n100-d30-04,21.871244335181885,991.5001250000018,991.5001250000017,0.0,0.05762043,21.813623905181885,21.372133486,21.32304474299999,73,65,48,384,1638,202,267,87.0,267,87
cg2_l20_w00_c200,mssp3-n100-d30-05,40.806539005367064,634.4001999999998,634.4001999999998,0.0,0.009400076,40.797138929367065,40.125172221999996,40.04229319900001,132,119,257,384,1632,202,321,124.0,321,124
cg2_l20_w00_c200,mssp3-n120-d10-01,108.18796965719739,2236.775155000001,2236.775155000001,0.0,0.097363683,108.09060597419739,107.527706828,107.42429245299998,148,141,51,420,866,202,346,166.0,345,164
cg2_l20_w00_c200,mssp3-n120-d10-02,63.16405800542578,1767.5683454545447,1767.5683454545447,0.0,0.026538169,63.13751983642578,62.68284145500004,62.605250440000006,104,98,49,420,868,202,303,139.0,302,131
cg2_l20_w00_c200,mssp3-n120-d10-03,35.54199594420691,1638.500100000003,1638.500100000003,0.0,0.019187154,35.52280879020691,35.13605016199999,35.040435739,134,130,7,420,888,202,347,559.0,345,546
cg2_l20_w00_c200,mssp3-n120-d10-04,95.27818092675768,1711.4001999999982,1711.4001999999982,0.0,0.028740972,95.24943995475769,94.568635966,94.25177183300003,261,253,62,420,851,202,460,344.0,459,342
cg2_l20_w00_c200,mssp3-n120-d10-05,104.22458398759265,1764.213093055556,1764.213093055556,0.0,0.006373052,104.21821093559265,103.61986695000002,103.528028037,125,120,25,420,808,202,328,176.0,328,176
cg2_l20_w00_c200,mssp3-n120-d15-01,75.86877840835693,1431.0501818181822,1431.0501818181824,0.0,0.06134528,75.80743312835693,74.915243908,74.84501370900003,123,113,128,420,1203,202,314,118.0,314,118
cg2_l20_w00_c200,mssp3-n120-d15-02,36.53481044807507,1554.4000999999998,1554.4000999999998,0.0,0.059599543,36.47521090507507,35.90193653700001,35.85689631100001,78,72,53,420,1240,202,274,80.0,273,78
