func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
cg_w05_c000,mssp4-n100-d10-01,18.79327311553662,1708.9001000000003,1708.9001000000003,0.0,0.056961203,18.73631191253662,18.537547484999994,18.501475151999998,126,122,7,279,751,97,225,203.0,225,203
cg_w05_c000,mssp4-n100-d10-02,21.487188515313722,1526.6001499999986,1526.6001499999986,0.0,0.028310475,21.45887804031372,21.211118712999994,21.175824871,117,113,23,277,720,95,215,212.0,215,194
cg_w05_c000,mssp4-n100-d10-03,39.242711000047365,1769.6113222222218,1769.6113222222218,0.0,0.026573114,39.21613788604736,38.79519938699999,38.73204815799998,193,183,121,274,697,92,279,227.0,279,227
cg_w05_c000,mssp4-n100-d10-04,103.26946400343336,2002.5001800000018,2002.5001800000018,0.0,0.040000903,103.22946310043335,102.47693197299995,102.33314337199995,408,393,193,277,701,95,496,537.0,496,537
cg_w05_c000,mssp4-n100-d10-05,24.550210579367675,1654.0078423076927,1654.0078423076927,0.0,0.00611554,24.544095039367676,24.238508795,24.201597621999984,124,118,79,277,725,95,217,136.0,217,136
cg_w05_c000,mssp4-n100-d15-01,53.80214670043542,1283.8002000000015,1283.8002000000017,0.0,0.066626576,53.735520124435425,53.30304396499998,53.14903680399999,247,239,92,279,945,97,339,244.0,339,244
cg_w05_c000,mssp4-n100-d15-02,26.42904874655786,1302.600150000001,1302.600150000001,0.0,0.049054831,26.37999391555786,25.99328465199999,25.963398766999987,120,114,87,272,963,90,208,135.0,208,135
cg_w05_c000,mssp4-n100-d15-03,25.94933940541272,1187.4002000000014,1187.4002000000014,0.0,0.040430323,25.90890908241272,25.424445569000003,25.401740331999996,83,77,162,274,939,92,172,82.0,172,82
cg_w05_c000,mssp4-n100-d15-04,12.690145317964843,1324.6000999999997,1324.6000999999997,0.0,0.051145379,12.638999938964844,12.398290483,12.383814634999998,53,50,11,275,952,93,146,55.0,146,55
cg_w05_c000,mssp4-n100-d15-05,31.005386352716187,1383.5386384615383,1383.5386384615383,0.0,0.039196253,30.966190099716187,30.38263911500001,30.355442066000002,105,98,201,275,996,93,194,103.0,194,103
cg_w05_c000,mssp4-n100-d20-01,34.4229142236123,1016.9001000000009,1016.9001000000009,0.0,0.071857171,34.351057052612305,33.853470038999994,33.824181114999995,107,98,104,269,1213,87,188,103.0,188,103
cg_w05_c000,mssp4-n100-d20-02,17.77935592970703,1055.6001,1055.6001,0.0,0.027273105,17.75208282470703,17.388818776,17.372528365999997,58,54,51,274,1258,92,151,83.0,151,83
cg_w05_c000,mssp4-n100-d20-03,25.329607912855835,964.3001000000003,964.3001000000003,0.0,0.09931297,25.230294942855835,24.803951590000008,24.784818633999993,73,69,60,275,1222,93,165,74.0,165,74
cg_w05_c000,mssp4-n100-d20-04,66.40262588406897,1075.8001000000004,1075.8001000000004,0.0,0.018069829,66.38455605506897,65.74528351000002,65.66693791699998,245,237,212,269,1192,87,328,255.0,328,255
cg_w05_c000,mssp4-n100-d20-05,10.714116371377076,920.9001000000001,920.9001000000002,0.0,0.065725363,10.648391008377075,10.214957957000001,10.201411851000001,47,42,44,278,1222,96,144,65.0,144,65
cg_w05_c000,mssp4-n100-d30-01,11.70501626615564,738.5001000000002,738.5001000000002,0.0,0.061286341,11.64372992515564,10.995714836,10.986031915999998,39,36,174,266,1696,84,124,44.0,124,44
cg_w05_c000,mssp4-n100-d30-02,16.944716854280152,992.1001499999998,992.1001499999998,0.0,0.021549864,16.92316699028015,16.504309800999998,16.48704942499999,68,63,49,273,1682,91,158,71.0,158,71
cg_w05_c000,mssp4-n100-d30-03,16.441463568796753,998.7000999999996,998.7000999999996,0.0,0.074332574,16.367130994796753,16.063088398999998,16.045615994000002,66,61,16,266,1678,84,150,70.0,150,70
cg_w05_c000,mssp4-n100-d30-04,14.51088627900476,604.1001000000034,604.1001000000034,0.0,0.019394246,14.49149203300476,13.962099466000002,13.950686477999996,45,41,136,276,1681,94,138,46.0,138,46
cg_w05_c000,mssp4-n100-d30-05,18.923898446039427,871.5001000000002,871.5001000000001,0.0,0.01975249,18.90414595603943,18.510586215000004,18.492974678999996,70,65,58,275,1741,93,161,70.0,161,70
cg_w05_c000,mssp4-n120-d10-01,113.49420235501917,2042.7212943661978,2042.7212943661978,0.0,0.057749251,113.43645310401917,112.858672761,112.77398648299999,261,252,59,313,1000,95,351,294.0,351,294
cg_w05_c000,mssp4-n120-d10-02,333.87174525287367,2230.260366274972,2230.2603662749716,0.0,0.026816273,333.84492897987366,332.15697010800045,331.8623273840003,526,514,497,313,930,95,614,630.0,614,630
cg_w05_c000,mssp4-n120-d10-03,77.69768243315026,2081.0501500000023,2081.0501500000023,0.0,0.007244401,77.69043803215027,77.29510176600002,77.23310160100002,207,202,17,312,935,94,299,207.0,299,207
cg_w05_c000,mssp4-n120-d10-04,78.57322260963257,1958.4679290322601,1958.4679290322601,0.0,0.020097705,78.55312490463257,78.03027867399999,77.997885076,113,109,75,315,946,97,209,114.0,209,114
cg_w05_c000,mssp4-n120-d10-05,98.99708245210303,1915.3456295454546,1915.3456295454546,0.0,0.007375459,98.98970699310303,98.49694284299996,98.43919064499995,195,189,31,314,989,96,288,194.0,288,194
cg_w05_c000,mssp4-n120-d15-01,82.84315826679529,1344.0501999999985,1344.0501999999985,0.0,0.080831311,82.76232695579529,81.58426030100004,81.54979072699999,107,102,328,310,1379,92,197,107.0,197,107
